X,Y,OBJECTID,RADICADO,DIA,PERIODO,CBML,DIA_SEMANA,MES,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,group
-75.58942028971799,6.277199704669747,664918.0,1630001.0,5.0,2018.0,715.0,2.0,6.0,7.0,3.0,1.0,6.0,0
-75.55696125907838,6.267203533615075,666788.0,1638358.0,15.0,2018.0,409.0,3.0,8.0,4.0,1.0,1.0,1.0,0
-75.55624516504645,6.212461480753902,561873.0,1627340.0,15.0,2018.0,1408.0,2.0,5.0,14.0,1.0,2.0,1.0,1
-75.57181765102756,6.25826957323471,550655.0,1612917.0,15.0,2018.0,1004.0,1.0,1.0,10.0,1.0,2.0,1.0,1
-75.59529962227664,6.2694729599349595,685224.0,1651123.0,27.0,2018.0,1114.0,2.0,11.0,11.0,1.0,1.0,6.0,0
-75.57498644929805,6.264761303618183,663637.0,1632344.0,25.0,2018.0,517.0,1.0,6.0,5.0,2.0,2.0,1.0,0
-75.58386706462298,6.245678794071759,561992.0,1618795.0,2.0,2018.0,1104.0,5.0,3.0,11.0,1.0,2.0,1.0,1
-75.55791149829035,6.282796099622573,685654.0,1651736.0,3.0,2018.0,412.0,1.0,12.0,4.0,1.0,1.0,1.0,0
-75.57836007790661,6.247540125204371,682481.0,1654743.0,24.0,2018.0,1008.0,1.0,12.0,10.0,1.0,2.0,1.0,0
-75.56006977635218,6.300945773589169,685052.0,1653406.0,14.0,2018.0,507.0,5.0,12.0,5.0,1.0,1.0,1.0,0
-75.57767627580459,6.244064261877066,565388.0,1623300.0,10.0,2018.0,1009.0,2.0,4.0,10.0,2.0,1.0,2.0,1
-75.57133886174209,6.2908819940718725,554228.0,1616972.0,17.0,2018.0,511.0,6.0,2.0,5.0,3.0,1.0,3.0,1
-75.5590994056468,6.266914627937284,551937.0,1613984.0,23.0,2018.0,409.0,2.0,1.0,4.0,3.0,1.0,4.0,1
-75.56072305090893,6.2406829026095645,553326.0,1620161.0,15.0,2018.0,911.0,4.0,3.0,9.0,1.0,1.0,6.0,1
-75.58389580812987,6.28851363018217,566770.0,1629326.0,31.0,2018.0,607.0,4.0,5.0,6.0,3.0,1.0,2.0,1
-75.55943208720481,6.299177812848244,681614.0,1646439.0,18.0,2018.0,507.0,4.0,10.0,5.0,1.0,1.0,1.0,0
-75.63653810618084,6.175708255527427,673709.0,1645105.0,8.0,2018.0,8000.0,1.0,10.0,20.0,1.0,1.0,1.0,0
-75.57578385773414,6.2172811853743575,554962.0,1615512.0,5.0,2018.0,1403.0,1.0,2.0,14.0,5.0,2.0,1.0,1
-75.57269909856893,6.291340417982275,666949.0,1637740.0,10.0,2018.0,511.0,5.0,8.0,5.0,3.0,1.0,1.0,0
-75.54516739103053,6.270108470516473,558791.0,1621870.0,30.0,2018.0,305.0,5.0,3.0,3.0,1.0,2.0,1.0,1
-75.57147505604851,6.272170206040387,669731.0,1634730.0,12.0,2018.0,517.0,4.0,7.0,5.0,1.0,2.0,1.0,0
-75.56408229521517,6.263954718404928,676295.0,1642230.0,15.0,2018.0,407.0,6.0,9.0,4.0,1.0,1.0,2.0,0
-75.59302128030963,6.273389147204995,672595.0,1644403.0,29.0,2018.0,705.0,6.0,9.0,7.0,1.0,2.0,1.0,0
-75.56468373684778,6.243687338770021,678025.0,1649044.0,9.0,2018.0,1013.0,5.0,11.0,10.0,1.0,1.0,2.0,0
-75.57594253990578,6.189257710465652,676018.0,1641455.0,7.0,2018.0,1414.0,5.0,9.0,14.0,2.0,2.0,1.0,0
-75.55345890902593,6.232630086030762,662123.0,1633407.0,4.0,2018.0,910.0,3.0,7.0,9.0,1.0,1.0,2.0,0
-75.5830522136891,6.2834879715763305,670918.0,1635098.0,19.0,2018.0,710.0,4.0,7.0,7.0,2.0,1.0,1.0,0
-75.5575492306137,6.2545687604686675,662650.0,1633602.0,6.0,2018.0,803.0,5.0,7.0,8.0,2.0,2.0,1.0,0
-75.57756814856742,6.285773382133549,669930.0,1634293.0,12.0,2018.0,514.0,4.0,7.0,5.0,3.0,1.0,2.0,0
-75.60602214020787,6.245762422140534,680768.0,1646609.0,22.0,2018.0,1211.0,1.0,10.0,12.0,3.0,1.0,6.0,0
-75.56278119780319,6.247280831478064,552468.0,1614938.0,1.0,2018.0,1016.0,4.0,2.0,10.0,1.0,1.0,1.0,1
-75.58015317344545,6.258711748184037,666254.0,1638308.0,14.0,2018.0,1101.0,2.0,8.0,11.0,2.0,2.0,1.0,0
-75.57556500388588,6.201094587904137,674581.0,1642805.0,17.0,2018.0,1422.0,1.0,9.0,14.0,1.0,2.0,1.0,0
-75.5497027935374,6.242749985111784,686164.0,1653747.0,17.0,2018.0,810.0,1.0,12.0,8.0,2.0,2.0,1.0,0
-75.57604036890072,6.214955880434152,556382.0,1619054.0,5.0,2018.0,1403.0,1.0,3.0,14.0,1.0,1.0,1.0,1
-75.55323465545267,6.237989362820332,678611.0,1650678.0,22.0,2018.0,908.0,4.0,11.0,9.0,2.0,1.0,1.0,0
-75.56943000724726,6.236899733526628,685474.0,1652269.0,3.0,2018.0,1020.0,1.0,12.0,10.0,2.0,2.0,1.0,0
-75.57673715991166,6.2076124713522685,553958.0,1616477.0,13.0,2018.0,1421.0,2.0,2.0,14.0,2.0,2.0,1.0,1
-75.60414363476724,6.23113119545634,675704.0,1640119.0,27.0,2018.0,1603.0,1.0,8.0,16.0,1.0,2.0,1.0,0
-75.60331218158716,6.204304020057608,563421.0,1624546.0,21.0,2018.0,1609.0,6.0,4.0,16.0,3.0,2.0,1.0,1
-75.59024922673498,6.239540859654479,562220.0,1617311.0,19.0,2018.0,1106.0,1.0,2.0,11.0,1.0,2.0,1.0,1
-75.57443139889763,6.231883651761104,563076.0,1624200.0,19.0,2018.0,1012.0,4.0,4.0,10.0,1.0,2.0,1.0,1
-75.57350366137118,6.235570281449998,559867.0,1628227.0,22.0,2018.0,1012.0,2.0,5.0,10.0,1.0,2.0,1.0,1
-75.57140847770151,6.229025824046327,558463.0,1620100.0,15.0,2018.0,1012.0,4.0,3.0,10.0,1.0,1.0,1.0,1
-75.56346453790398,6.253182272508409,553652.0,1621227.0,23.0,2018.0,1018.0,5.0,3.0,10.0,1.0,1.0,2.0,1
-75.55814107066166,6.2550767524391935,682187.0,1647049.0,25.0,2018.0,803.0,4.0,10.0,8.0,2.0,1.0,6.0,0
