;Longitude;Latitude;
75°35'37.668W,6°12'48.644N;-75.5937967;6.2135122;
75°35'35.621W,6°12'58.972N;-75.5932281;6.2163811;
75°35'48.096W,6°12'50.755N;-75.5966933;6.2140986;
75°35'50.491W,6°12'57.667N;-75.5973586;6.2160186;
75°35'52.268W,6°12'58.972N;-75.5978522;6.2163811;
75°35'32.801W,6°13'13.544N;-75.5924447;6.2204289;
75°35'32.106W,6°13'17.000N;-75.5922517;6.2213889;
75°35'31.218W,6°13'22.068N;-75.592005;6.2227967;
75°35'30.136W,6°13'28.020N;-75.5917044;6.22445;
75°35'27.507W,6°13'36.464N;-75.5909742;6.2267956;
75°35'28.782W,6°13'43.760N;-75.5913283;6.2288222;
75°35'28.936W,6°13'45.411N;-75.5913711;6.2292808;
75°35'29.168W,6°13'49.941N;-75.5914356;6.2305392;
75°35'29.322W,6°13'53.551N;-75.5914783;6.2315419;
75°35'29.477W,6°13'56.200N;-75.5915214;6.2322778;
75°35'24.842W,6°13'53.589N;-75.5902339;6.2315525;
75°35'14.221W,6°13'53.973N;-75.5872836;6.2316592;
75°35'14.298W,6°13'56.853N;-75.587305;6.2324592;
75°34'57.971W,6°13'55.417N;-75.5827697;6.2320603;
75°34'57.855W,6°13'59.909N;-75.5827375;6.2333081;
75°34'46.384W,6°13'58.806N;-75.5795511;6.2330017;
75°34'40.475W,6°13'57.731N;-75.5779097;6.2327031;
75°34'35.821W,6°13'53.930N;-75.5766169;6.2316472;
75°34'52.776W,6°14'22.345N;-75.5813267;6.2395403;
75°33'12.979W,6°17'4.183N;-75.5536053;6.2844953;
75°33'15.373W,6°17'4.068N;-75.5542703;6.2844633;
75°33'19.699W,6°17'4.298N;-75.5554719;6.2845272;
75°33'24.296W,6°17'4.490N;-75.5567489;6.2845806;
75°33'23.832W,6°17'9.136N;-75.55662;6.2858711;
75°33'46.002W,6°17'26.105N;-75.5627783;6.2905847;
75°33'41.773W,6°17'0.728N;-75.5616036;6.2835356;
75°34'4.542W,6°16'58.540N;-75.5679283;6.2829278;
75°33'56.779W,6°17'3.160N;-75.5657719;6.2842111;
75°33'54.694W,6°17'4.043N;-75.5651928;6.2844564;
75°33'46.499W,6°17'7.955N;-75.5629164;6.2855431;
75°33'46.943W,6°17'9.933N;-75.5630397;6.2860925;
75°33'50.825W,6°17'7.725N;-75.5641181;6.2854792;
75°33'51.424W,6°17'9.491N;-75.5642844;6.2859697;
75°33'52.544W,6°17'9.280N;-75.5645956;6.2859111;
75°33'14.765W,6°16'44.425N;-75.5541014;6.2790069;
75°33'16.271W,6°16'34.942N;-75.5545197;6.2763728;
75°33'54.167W,6°16'36.535N;-75.5650464;6.2768153;
